,start,stop
0,2020-06-27 15:10:48.713492,2020-06-27 15:10:48.745060
1,2020-06-27 15:10:48.777901,2020-06-27 15:10:48.984032
2,2020-06-27 15:10:50.400682,2020-06-27 15:10:50.485389
3,2020-06-27 15:10:53.976778,2020-06-27 15:10:54.100227
4,2020-06-27 15:10:54.214527,2020-06-27 15:10:54.253594
5,2020-06-27 15:10:55.211906,2020-06-27 15:10:55.311666
6,2020-06-27 15:10:55.662867,2020-06-27 15:10:55.689165
7,2020-06-27 15:10:56.348918,2020-06-27 15:10:57.067092
8,2020-06-27 15:10:58.856025,2020-06-27 15:10:59.395272
9,2020-06-27 15:11:02.184639,2020-06-27 15:11:02.232483
10,2020-06-27 15:11:03.119344,2020-06-27 15:11:03.204001
11,2020-06-27 15:11:04.361799,2020-06-27 15:11:04.393039
12,2020-06-27 15:11:04.415292,2020-06-27 15:11:05.363887
